TYPE,the_geom,OBJECTID,BORO,PROVIDER,NAME,LOCATION,LAT,LON,X,Y,LOCATION_T,REMARKS,CITY,SSID,SOURCEID,ACTIVATED,BOROCODE,BORONAME,NTACODE,NTANAME,COUNDIST,POSTCODE,BOROCD,CT2010,BOROCT2010,BIN,BBL,DOITT_ID
Limited Free,POINT (-73.94405999987589 40.65831000005428),1,BK,ALTICEUSA,Wingate Park,HAWTHRONE ST 1 P/W/BROOKLYN AV,40.65831,-73.94406,999770.788172,179121.42724,Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,11/30/1899 12:00:00 AM +0000,3,Brooklyn,BK60,Prospect Lefferts Gardens-Wingate,40,11203,309,810,3081000,0,3048110001,867
Limited Free,POINT (-73.94723000040361 40.65800000025769),2,BK,ALTICEUSA,Wingate Park,HAWTHRONE ST 1 P/N/O/BROOKLYN AV,40.658,-73.94723,998891.326348,179007.939934,Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,11/30/1899 12:00:00 AM +0000,3,Brooklyn,BK60,Prospect Lefferts Gardens-Wingate,40,11203,309,810,3081000,0,0,868
Limited Free,POINT (-73.94723000040361 40.65800000025769),3,BK,ALTICEUSA,Wingate Park,HAWTHRONE ST 1 P/N/O/BROOKLYN AV,40.658,-73.94723,998891.326348,179007.939934,Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,11/30/1899 12:00:00 AM +0000,3,Brooklyn,BK60,Prospect Lefferts Gardens-Wingate,40,11203,309,810,3081000,0,0,869
Limited Free,POINT (-73.9471600002058 40.65743000036481),4,BK,ALTICEUSA,Wingate Park,HAWTHRONE ST 1 P/S/O BROOKLYN AV,40.65743,-73.94716,998910.873553,178800.284838,Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,11/30/1899 12:00:00 AM +0000,3,Brooklyn,BK60,Prospect Lefferts Gardens-Wingate,40,11203,309,810,3081000,3107446,3048200001,870
Limited Free,POINT (-73.9471600002058 40.65743000036481),5,BK,ALTICEUSA,Wingate Park,HAWTHRONE ST 1 P/S/O/BROOKLYN AV,40.65743,-73.94716,998910.873553,178800.284838,Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,11/30/1899 12:00:00 AM +0000,3,Brooklyn,BK60,Prospect Lefferts Gardens-Wingate,40,11203,309,810,3081000,3107446,3048200001,871
Limited Free,POINT (-73.82447200011882 40.846313999851525),6,BX,ALTICEUSA,Pelham Bay Park,MIDDLETOWN RD 1/P/W/O DWIGHT PL,40.846314,-73.824472,1032813.69945,247661.094622,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,,11/30/1899 12:00:00 AM +0000,2,Bronx,BX10,Pelham Bay-Country Club-City Island,13,10465,210,27401,2027401,0,0,872
Limited Free,POINT (-73.82222999996205 40.84759600008267),7,BX,ALTICEUSA,Pelham Bay Park,MIDDLETOWN RD 1/P/W/O KENNELLWORTH PL,40.847596,-73.82223,1033433.04959,248129.425707,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,,11/30/1899 12:00:00 AM +0000,2,Bronx,BX99,park-cemetery-etc-Bronx,13,10465,228,276,2027600,0,0,875
Limited Free,POINT (-73.82107100039131 40.84815899973128),8,BX,ALTICEUSA,Pelham Bay Park,C/O MIDDLETOWN RD  /OHM AV,40.848159,-73.821071,1033753.28681,248335.20023,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,,11/30/1899 12:00:00 AM +0000,2,Bronx,BX10,Pelham Bay-Country Club-City Island,13,10465,210,27401,2027401,0,0,876
Limited Free,POINT (-73.82074999971974 40.84832200044426),9,BX,ALTICEUSA,Pelham Bay Park,MIDDLETOWN RD   1/P/W/O STADIUM AV,40.848322,-73.82075,1033841.97462,248394.769008,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,,11/30/1899 12:00:00 AM +0000,2,Bronx,BX10,Pelham Bay-Country Club-City Island,13,10465,210,27401,2027401,0,0,877
Limited Free,POINT (-73.82104999950434 40.84923299957082),10,BX,ALTICEUSA,Pelham Bay Park,IN PARK POLE 4/P/N/O  STADIUM AV,40.849233,-73.82105,1033758.29762,248726.510143,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,,11/30/1899 12:00:00 AM +0000,2,Bronx,BX99,park-cemetery-etc-Bronx,13,10465,228,276,2027600,0,2043350001,878
